/Graph
Time (s),posX (Meters),posY (Meters),posZ (Meters)
12.75000,-8.6587e-01,-4.8402e-01,+1.9205e-02
12.80000,-8.6614e-01,-4.8361e-01,+1.9215e-02
12.85000,-8.6641e-01,-4.8324e-01,+1.9216e-02
12.90000,-8.6663e-01,-4.8289e-01,+1.9213e-02
12.95000,-8.6687e-01,-4.8252e-01,+1.9218e-02
13.00000,-8.6714e-01,-4.8213e-01,+1.9215e-02
13.05000,-8.6742e-01,-4.8171e-01,+1.9224e-02
13.10000,-8.6830e-01,-4.8029e-01,+1.9211e-02
13.15000,-8.6862e-01,-4.7978e-01,+1.9206e-02
13.20000,-8.6886e-01,-4.7942e-01,+1.9199e-02
13.25000,-8.6913e-01,-4.7901e-01,+1.9210e-02
13.30000,-8.6935e-01,-4.7865e-01,+1.9209e-02
13.35000,-8.6957e-01,-4.7831e-01,+1.9206e-02
13.40000,-8.6984e-01,-4.7789e-01,+1.9214e-02
13.45000,-8.7008e-01,-4.7751e-01,+1.9210e-02
13.50000,-8.7027e-01,-4.7717e-01,+1.9227e-02
13.55000,-8.7051e-01,-4.7676e-01,+1.9211e-02
13.60000,-8.7074e-01,-4.7632e-01,+1.9218e-02
13.65000,-8.7099e-01,-4.7590e-01,+1.9217e-02
13.70000,-8.7126e-01,-4.7551e-01,+1.9229e-02
13.75000,-8.7152e-01,-4.7513e-01,+1.9222e-02
13.80000,-8.7177e-01,-4.7474e-01,+1.9218e-02
13.85000,-8.7201e-01,-4.7437e-01,+1.9216e-02
13.90000,-8.7226e-01,-4.7399e-01,+1.9225e-02
13.95000,-8.7256e-01,-4.7358e-01,+1.9228e-02
14.00000,-8.7285e-01,-4.7315e-01,+1.9233e-02
14.05000,-8.7312e-01,-4.7276e-01,+1.9233e-02
14.10000,-8.7340e-01,-4.7240e-01,+1.9230e-02
14.15000,-8.7367e-01,-4.7205e-01,+1.9238e-02
14.20000,-8.7396e-01,-4.7160e-01,+1.9228e-02
14.25000,-8.7426e-01,-4.7114e-01,+1.9229e-02
14.30000,-8.7455e-01,-4.7078e-01,+1.9228e-02
14.35000,-8.7478e-01,-4.7045e-01,+1.9213e-02
14.40000,-8.7506e-01,-4.7008e-01,+1.9212e-02
14.45000,-8.7534e-01,-4.6966e-01,+1.9217e-02
14.50000,-8.7556e-01,-4.6931e-01,+1.9217e-02
14.55000,-8.7581e-01,-4.6897e-01,+1.9213e-02
14.60000,-8.7608e-01,-4.6857e-01,+1.9228e-02
14.65000,-8.7634e-01,-4.6821e-01,+1.9218e-02
14.70000,-8.7655e-01,-4.6788e-01,+1.9218e-02
14.75000,-8.7676e-01,-4.6748e-01,+1.9222e-02
14.80000,-8.7698e-01,-4.6707e-01,+1.9214e-02
14.85000,-8.7721e-01,-4.6667e-01,+1.9214e-02
14.90000,-8.7746e-01,-4.6629e-01,+1.9218e-02
14.95000,-8.7769e-01,-4.6592e-01,+1.9225e-02
15.00000,-8.7794e-01,-4.6558e-01,+1.9225e-02
15.05000,-8.7816e-01,-4.6520e-01,+1.9215e-02
15.10000,-8.7840e-01,-4.6485e-01,+1.9228e-02
15.15000,-8.7862e-01,-4.6453e-01,+1.9228e-02
15.20000,-8.7888e-01,-4.6416e-01,+1.9216e-02
15.25000,-8.7917e-01,-4.6374e-01,+1.9223e-02
15.30000,-8.7939e-01,-4.6336e-01,+1.9220e-02
15.35000,-8.7964e-01,-4.6303e-01,+1.9227e-02
15.40000,-8.7992e-01,-4.6265e-01,+1.9238e-02
15.45000,-8.8026e-01,-4.6225e-01,+1.9222e-02
15.50000,-8.8055e-01,-4.6184e-01,+1.9219e-02
15.55000,-8.8080e-01,-4.6149e-01,+1.9209e-02
15.60000,-8.8167e-01,-4.6005e-01,+1.9211e-02
15.65000,-8.8202e-01,-4.5950e-01,+1.9212e-02
15.70000,-8.8226e-01,-4.5913e-01,+1.9211e-02
15.75000,-8.8253e-01,-4.5871e-01,+1.9212e-02
15.80000,-8.8280e-01,-4.5829e-01,+1.9213e-02
15.85000,-8.8308e-01,-4.5793e-01,+1.9228e-02
15.90000,-8.8336e-01,-4.5757e-01,+1.9207e-02
15.95000,-8.8364e-01,-4.5715e-01,+1.9217e-02
16.00000,-8.8393e-01,-4.5674e-01,+1.9214e-02
16.05000,-8.8420e-01,-4.5635e-01,+1.9212e-02
16.10000,-8.8442e-01,-4.5598e-01,+1.9227e-02
16.15000,-8.8464e-01,-4.5552e-01,+1.9215e-02
16.20000,-8.8489e-01,-4.5506e-01,+1.9213e-02
16.25000,-8.8510e-01,-4.5469e-01,+1.9208e-02
16.30000,-8.8532e-01,-4.5433e-01,+1.9217e-02
16.35000,-8.8557e-01,-4.5388e-01,+1.9218e-02
16.40000,-8.8580e-01,-4.5347e-01,+1.9220e-02
16.45000,-8.8596e-01,-4.5313e-01,+1.9224e-02
16.50000,-8.8617e-01,-4.5270e-01,+1.9215e-02
16.55000,-8.8640e-01,-4.5226e-01,+1.9217e-02
16.60000,-8.8659e-01,-4.5191e-01,+1.9216e-02
16.65000,-8.8681e-01,-4.5153e-01,+1.9210e-02
16.70000,-8.8706e-01,-4.5111e-01,+1.9212e-02
16.75000,-8.8730e-01,-4.5069e-01,+1.9230e-02
16.80000,-8.8750e-01,-4.5033e-01,+1.9224e-02
16.85000,-8.8772e-01,-4.4998e-01,+1.9218e-02
16.90000,-8.8797e-01,-4.4954e-01,+1.9217e-02
16.95000,-8.8822e-01,-4.4910e-01,+1.9224e-02
17.00000,-8.8846e-01,-4.4867e-01,+1.9221e-02
17.05000,-8.8870e-01,-4.4823e-01,+1.9218e-02
17.10000,-8.8894e-01,-4.4780e-01,+1.9225e-02
17.15000,-8.8918e-01,-4.4739e-01,+1.9228e-02
17.20000,-8.8941e-01,-4.4698e-01,+1.9220e-02
17.25000,-8.8964e-01,-4.4659e-01,+1.9219e-02
17.30000,-8.8986e-01,-4.4617e-01,+1.9217e-02
17.35000,-8.9010e-01,-4.4574e-01,+1.9226e-02
17.40000,-8.9035e-01,-4.4532e-01,+1.9224e-02
17.45000,-8.9061e-01,-4.4489e-01,+1.9227e-02
17.50000,-8.9085e-01,-4.4448e-01,+1.9225e-02
17.55000,-8.9114e-01,-4.4414e-01,+1.9230e-02
17.60000,-8.9142e-01,-4.4379e-01,+1.9224e-02
17.65000,-8.9170e-01,-4.4345e-01,+1.9217e-02
17.70000,-8.9199e-01,-4.4303e-01,+1.9212e-02
17.75000,-8.9224e-01,-4.4267e-01,+1.9211e-02
17.80000,-8.9247e-01,-4.4234e-01,+1.9207e-02
17.85000,-8.9277e-01,-4.4194e-01,+1.9213e-02
17.90000,-8.9305e-01,-4.4156e-01,+1.9221e-02
17.95000,-8.9329e-01,-4.4122e-01,+1.9217e-02
18.00000,-8.9354e-01,-4.4089e-01,+1.9212e-02
18.05000,-8.9380e-01,-4.4051e-01,+1.9218e-02
18.10000,-8.9408e-01,-4.4012e-01,+1.9221e-02
18.15000,-8.9435e-01,-4.3975e-01,+1.9212e-02
18.20000,-8.9457e-01,-4.3942e-01,+1.9224e-02
18.25000,-8.9483e-01,-4.3901e-01,+1.9221e-02
18.30000,-8.9573e-01,-4.3760e-01,+1.9213e-02
18.35000,-8.9609e-01,-4.3704e-01,+1.9215e-02
18.40000,-8.9632e-01,-4.3668e-01,+1.9211e-02
18.45000,-8.9659e-01,-4.3623e-01,+1.9208e-02
18.50000,-8.9686e-01,-4.3579e-01,+1.9218e-02
18.55000,-8.9708e-01,-4.3540e-01,+1.9218e-02
18.60000,-8.9795e-01,-4.3396e-01,+1.9214e-02
18.65000,-8.9828e-01,-4.3341e-01,+1.9208e-02
18.70000,-8.9851e-01,-4.3302e-01,+1.9215e-02
18.75000,-8.9878e-01,-4.3257e-01,+1.9213e-02
18.80000,-8.9899e-01,-4.3217e-01,+1.9220e-02
18.85000,-8.9920e-01,-4.3177e-01,+1.9222e-02
18.90000,-8.9944e-01,-4.3130e-01,+1.9219e-02
18.95000,-8.9970e-01,-4.3087e-01,+1.9219e-02
19.00000,-8.9990e-01,-4.3048e-01,+1.9213e-02
19.05000,-9.0075e-01,-4.2904e-01,+1.9213e-02
19.10000,-9.0109e-01,-4.2849e-01,+1.9213e-02
19.15000,-9.0134e-01,-4.2811e-01,+1.9209e-02
19.20000,-9.0158e-01,-4.2768e-01,+1.9218e-02
19.25000,-9.0178e-01,-4.2728e-01,+1.9216e-02
19.30000,-9.0198e-01,-4.2693e-01,+1.9220e-02
19.35000,-9.0224e-01,-4.2650e-01,+1.9220e-02
19.40000,-9.0248e-01,-4.2606e-01,+1.9231e-02
19.45000,-9.0271e-01,-4.2572e-01,+1.9221e-02
19.50000,-9.0292e-01,-4.2539e-01,+1.9213e-02
19.55000,-9.0314e-01,-4.2501e-01,+1.9210e-02
19.60000,-9.0342e-01,-4.2461e-01,+1.9210e-02
19.65000,-9.0367e-01,-4.2426e-01,+1.9213e-02
19.70000,-9.0388e-01,-4.2393e-01,+1.9214e-02
19.75000,-9.0415e-01,-4.2352e-01,+1.9213e-02
19.80000,-9.0441e-01,-4.2313e-01,+1.9219e-02
19.85000,-9.0465e-01,-4.2278e-01,+1.9214e-02
19.90000,-9.0487e-01,-4.2242e-01,+1.9212e-02
19.95000,-9.0514e-01,-4.2202e-01,+1.9220e-02
20.00000,-9.0540e-01,-4.2160e-01,+1.9217e-02
20.05000,-9.0563e-01,-4.2119e-01,+1.9227e-02
20.10000,-9.0585e-01,-4.2079e-01,+1.9234e-02
20.15000,-9.0609e-01,-4.2042e-01,+1.9223e-02
20.20000,-9.0636e-01,-4.2004e-01,+1.9219e-02
20.25000,-9.0662e-01,-4.1967e-01,+1.9221e-02
20.30000,-9.0690e-01,-4.1931e-01,+1.9216e-02
20.35000,-9.0718e-01,-4.1888e-01,+1.9221e-02
20.40000,-9.0746e-01,-4.1846e-01,+1.9223e-02
20.45000,-9.0770e-01,-4.1810e-01,+1.9225e-02
20.50000,-9.0794e-01,-4.1775e-01,+1.9225e-02
20.55000,-9.0818e-01,-4.1734e-01,+1.9227e-02
20.60000,-9.0845e-01,-4.1690e-01,+1.9220e-02
20.65000,-9.0869e-01,-4.1652e-01,+1.9221e-02
20.70000,-9.0889e-01,-4.1616e-01,+1.9222e-02
20.75000,-9.0910e-01,-4.1582e-01,+1.9224e-02
20.80000,-9.0935e-01,-4.1542e-01,+1.9225e-02
20.85000,-9.0991e-01,-4.1455e-01,+1.9215e-02
20.90000,-9.1022e-01,-4.1410e-01,+1.9217e-02
20.95000,-9.1043e-01,-4.1376e-01,+1.9211e-02
21.00000,-9.1071e-01,-4.1336e-01,+1.9214e-02
21.05000,-9.1098e-01,-4.1295e-01,+1.9217e-02
21.10000,-9.1120e-01,-4.1264e-01,+1.9219e-02
21.15000,-9.1143e-01,-4.1232e-01,+1.9212e-02
21.20000,-9.1171e-01,-4.1190e-01,+1.9222e-02
21.25000,-9.1196e-01,-4.1156e-01,+1.9220e-02
21.30000,-9.1218e-01,-4.1122e-01,+1.9217e-02
21.35000,-9.1248e-01,-4.1083e-01,+1.9219e-02
21.40000,-9.1271e-01,-4.1045e-01,+1.9217e-02
21.45000,-9.1295e-01,-4.1015e-01,+1.9228e-02
21.50000,-9.1322e-01,-4.0977e-01,+1.9228e-02
21.55000,-9.1350e-01,-4.0938e-01,+1.9226e-02
21.60000,-9.1375e-01,-4.0904e-01,+1.9227e-02
